Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Speed_kmh,Latitude,Longitude,Motion_Intensity,Crash_Label
2026-01-15 22:41:44,0.394162,0.295926,-5.396479,-0.000238,0.000384,0.000256,30.1266,17.379856,78.483162,5.432579,0
2026-01-15 11:38:16,-13.759435,-0.176677,-0.214017,0.002026,0.000211,-0.002486,47.4096,17.381564,78.490229,13.762237,0
2026-01-15 02:54:14,0.219901,-14.933758,-0.431384,-0.009925,0.000888,0.002341,44.4925,17.380444,78.479693,14.942077,0
2026-01-15 12:17:59,15.207600,0.149798,-0.075035,0.005239,-0.001064,-0.000870,39.9376,17.384609,78.484039,15.209177,0
2026-01-15 12:56:58,-14.189476,0.075971,-0.094678,0.002620,0.006933,-0.002599,52.6538,17.382115,78.493704,14.189999,0
2026-01-15 03:09:40,-0.031801,0.396377,-14.195192,-0.000969,0.001913,-0.000030,22.6797,17.386307,78.487840,14.202833,0
2026-01-15 20:21:07,0.368082,-0.008972,-12.009999,-0.002206,-0.001701,-0.009142,47.8025,17.381166,78.486093,12.029919,0
2026-01-15 05:34:49,-0.029705,0.352272,12.622538,0.001914,-0.000411,0.001310,15.1785,17.382769,78.485179,12.630751,0
2026-01-15 02:48:34,-15.448152,-0.265532,0.126251,-0.003781,0.008838,-0.008510,47.9420,17.389953,78.489957,15.460953,0
2026-01-15 11:28:57,-0.403607,14.735220,0.672629,-0.000598,-0.000683,-0.001720,41.1405,17.378991,78.491425,14.756255,0
2026-01-15 08:42:31,-0.377031,-0.132860,-13.625123,0.000498,0.001618,0.000729,27.3584,17.382092,78.492257,13.639091,0
2026-01-15 20:41:06,0.014935,12.268862,-0.111413,0.000464,-0.001185,0.001542,66.4533,17.386094,78.485740,12.274066,0
2026-01-15 01:41:34,-8.027727,0.304519,-0.213800,0.003392,0.008537,-0.004468,59.0326,17.389071,78.482164,8.037243,0
2026-01-15 09:27:44,-15.062153,0.190693,0.426959,-0.011536,0.007078,0.000096,65.9502,17.392850,78.483094,15.072124,0
2026-01-15 16:10:03,-15.609833,0.195410,0.456761,0.012193,-0.002596,0.006147,45.5673,17.373898,78.488631,15.617929,0
2026-01-15 10:59:16,0.197151,-0.232844,15.626297,-0.000957,0.000823,0.000210,25.2204,17.381453,78.481609,15.633505,0
2026-01-15 16:16:08,-0.202444,-0.262692,-12.208210,-0.006207,-0.005722,-0.005452,28.1277,17.390025,78.490650,12.229166,0
2026-01-15 03:56:08,15.502605,0.142224,-0.279238,0.010812,-0.005809,-0.001068,63.3599,17.374089,78.483103,15.509667,0
2026-01-15 13:53:17,-0.377280,-7.102849,0.122303,0.006599,-0.010521,0.000759,55.8329,17.386249,78.485189,7.119903,0
2026-01-15 18:35:09,-11.502053,-0.379430,-0.037578,0.000135,0.003542,-0.003198,22.1951,17.375901,78.484320,11.508390,0
2026-01-15 07:55:10,13.242438,-0.122224,0.000413,0.000312,0.000510,-0.000455,35.0558,17.382896,78.485008,13.244040,0
2026-01-15 01:54:30,0.466059,-0.239363,3.863262,0.009079,0.000079,0.006817,63.4779,17.383520,78.482318,3.917073,0
2026-01-15 17:21:01,-12.301520,0.434323,-0.194763,0.005255,0.001483,-0.010046,40.3167,17.377470,78.486554,12.310952,0
2026-01-15 01:45:27,0.392601,-11.818368,-0.298178,0.012825,0.004366,-0.000434,24.8212,17.387621,78.485083,11.829038,0
2026-01-15 16:19:42,-0.016169,-0.198087,11.296339,0.007357,-0.007611,-0.007436,44.6149,17.392606,78.494570,11.317611,0
2026-01-15 18:38:41,-0.149217,6.465600,-0.002174,-0.001776,-0.004520,0.003027,31.2610,17.383859,78.490240,6.472232,0
2026-01-15 06:09:01,0.061056,0.110551,12.752492,-0.000514,0.002603,-0.005677,52.1595,17.383337,78.483845,12.760122,0
2026-01-15 03:49:27,-0.363256,-11.509105,0.158444,0.009682,0.000368,0.009743,48.6201,17.393332,78.487290,11.517962,0
2026-01-15 19:52:46,0.002935,0.582656,12.269984,0.003825,0.010562,-0.000805,53.2751,17.395022,78.483747,12.294785,0
2026-01-15 02:45:18,15.320305,-0.340130,-0.013051,0.003192,0.000511,-0.005124,64.8770,17.382198,78.484136,15.324091,0
2026-01-15 18:44:01,-7.240015,0.458454,-0.029560,-0.001540,-0.004390,-0.001204,64.1165,17.386398,78.492029,7.254779,0
2026-01-15 08:27:31,-0.089696,4.422570,0.443068,-0.005954,-0.000861,-0.008886,35.9210,17.389635,78.483534,4.454706,0
2026-01-15 14:11:03,11.414837,-0.567506,0.368080,-0.000484,-0.004009,-0.002612,52.3528,17.389571,78.489663,11.440612,0
2026-01-15 02:49:41,-0.130216,-12.448803,-0.501651,0.004405,-0.000010,-0.001604,40.0085,17.388402,78.485940,12.480703,0
2026-01-15 23:45:07,0.089705,0.127437,-11.488577,-0.000332,-0.000157,-0.000478,28.6006,17.388376,78.492944,11.491162,0
2026-01-15 09:54:43,-0.582453,-14.786887,-0.506385,0.001620,-0.001520,-0.000993,32.1071,17.385347,78.494721,14.810063,0
2026-01-15 14:45:09,-0.432267,-13.999371,0.393221,0.000854,-0.001432,0.000787,69.1114,17.380666,78.488924,14.011852,0
2026-01-15 14:36:39,0.051734,-0.331465,6.338766,-0.004676,0.000259,0.009165,68.1011,17.384011,78.492384,6.350308,0
2026-01-15 23:26:31,0.126473,14.302934,-0.332340,0.004797,-0.000065,0.000389,42.1869,17.387004,78.486322,14.316848,0
2026-01-15 23:35:21,0.035335,-13.807415,0.081708,0.002791,-0.001824,-0.001026,41.1851,17.379835,78.485984,13.808293,0
2026-01-15 16:38:18,0.053438,0.141645,-6.706862,-0.002010,0.001281,0.005973,31.8643,17.382821,78.473472,6.726853,0
2026-01-15 00:36:18,0.369339,15.717439,-0.123520,0.011441,-0.000721,-0.002103,31.2936,17.388936,78.482727,15.722298,0
2026-01-15 07:07:35,0.083146,6.184257,-0.393016,0.000233,0.003615,0.005091,25.1400,17.387003,78.486337,6.197714,0
2026-01-15 06:40:13,-0.479340,0.447992,4.824183,0.008226,-0.002067,-0.000951,58.4907,17.387214,78.486433,4.870004,0
2026-01-15 08:50:50,-12.494883,0.005519,-0.206927,-0.000367,-0.000331,-0.001196,28.1926,17.377691,78.489172,12.500908,0
